NOME,BAIRRO,ENDERECO,CULINARIA,endereco_completo,latitude,longitude
Gio Pizzeria Napoletana,São Francisco,"Av. Quintino Bocaiúva, 127. São FranciscoNiterói",Pizzaria,"Avenida Quintino Bocaiúva, Rio de Janeiro, Brazil",-22.9208954,-43.094487
Gioia Cucina Italiana,Barra da Tijuca,Ilha Da Gigóia. Barra da TijucaRio de Janeiro,Italiana,"Ilha Da Gigóia. Barra da TijucaRio de Janeiro, Rio de Janeiro, Brazil",-23.0023571,-43.3082252
Giorni Culinária Italiana,Centro,"Av. Felíciano Sodré, 488. CentroNiterói",Italiana,"Avenida Felíciano Sodré, Rio de Janeiro, Brazil",-22.8807969,-43.1096894
Guacamole Cocina Mexicana (Freguesia),Freguesia de Jacarepaguá,"Est. do Bananal, 148. Freguesia de JacarepaguáRio de Janeiro",Mexicana,"Est. do Bananal, Rio de Janeiro, Brazil",nan,nan
Guita Bistrô,Gávea,"Rua José Roberto Macedo Soares, 5. GáveaRio de Janeiro",Bistrô,"Rua José Roberto Macedo Soares, Rio de Janeiro, Brazil",-22.9738639,-43.2274316
Gurumê,Tijuca,"Av. Maracanã, 987. TijucaRio de Janeiro",Japonesa,"Avenida Maracanã, Rio de Janeiro, Brazil",-22.7513579,-43.4790872
HOB Hamburgueria,Tijuca,"Rua Mariz e Barros, 184. TijucaRio de Janeiro",Hamburgueria,"Rua Mariz e Barros, Rio de Janeiro, Brazil",-22.9989214,-44.2320185
HOB Hamburgueria,Botafogo,"Rua Paulo Barreto, 63. BotafogoRio de Janeiro",Hamburgueria,"Rua Paulo Barreto, Rio de Janeiro, Brazil",-22.7103902,-43.4581086
Hachiko (Barra),Barra da Tijuca,"Av. Erico Veríssimo, 970. Barra da TijucaRio de Janeiro",Japonesa,"Avenida Erico Veríssimo, Rio de Janeiro, Brazil",-23.010411,-43.308371
Hachiko (Centro),Centro,"Travessa do Paço, 10. CentroRio de Janeiro",Japonesa,"Travessa do Paço, Rio de Janeiro, Brazil",-22.9042238,-43.1734756
Hafiza Árabe,Copacabana,Rua Domingos Ferreira n⁰ 76. CopacabanaRio de Janeiro,Árabe,"Rua Domingos Ferreira n⁰ 76. CopacabanaRio de Janeiro, Rio de Janeiro, Brazil",-22.9721962,-43.1865848
Henriqueta,Leblon,Rua Aristides Espinola 131. LeblonRio de Janeiro,Portuguesa,"Rua Aristides Espinola 131. LeblonRio de Janeiro, Rio de Janeiro, Brazil",-22.9866388,-43.2268313
Herr Pfeffer,Leblon,"Rua Conde Bernadotte, 26. LeblonRio de Janeiro",Alemã,"Rua Conde Bernadotte, Rio de Janeiro, Brazil",nan,nan
Juliette,Leblon,"Av. Ataulfo de Paiva, 270. LeblonRio de Janeiro",Bistrô,"Avenida Ataulfo de Paiva, Rio de Janeiro, Brazil",-22.9848391,-43.2250261
Juliette,Barra da Tijuca,"Av. Ayrton Senna, 2150. Barra da TijucaRio de Janeiro",Francesa,"Avenida Ayrton Senna, Rio de Janeiro, Brazil",-23.0054271,-44.3091696
Kinjo (Copacabana),Copacabana,"Rua Duvivier, 21. CopacabanaRio de Janeiro",Peruana,"Rua Duvivier, Rio de Janeiro, Brazil",-22.9655872,-43.1778627
Koni (Centro),Centro,"Rua São José, 66. CentroRio de Janeiro",Japonesa,"Rua São José, Rio de Janeiro, Brazil",-22.7800569,-43.2942303
Kō Bā Izakaya,Ipanema,"Rua Maria Quitéria, 111. IpanemaRio de Janeiro",Japonesa,"Rua Maria Quitéria, Rio de Janeiro, Brazil",-22.8254531,-43.0767814
La Copa,Copacabana,"Rua Domingos Ferreira, 122. CopacabanaRio de Janeiro",Carnes,"Rua Domingos Ferreira, Rio de Janeiro, Brazil",-22.9721962,-43.1865848
Layback Park,Recreio dos Bandeirantes,"Rua Fernando Bujones, 66. Recreio dos BandeirantesRio de Janeiro",Brasileira,"Rua Fernando Bujones, Rio de Janeiro, Brazil",nan,nan
Lilia Bistrô,Centro,"Rua Primeiro de Março, 66. CentroRio de Janeiro",Contemporânea,"Rua Primeiro de Março, Rio de Janeiro, Brazil",-22.8594647,-43.1037083
Lima Cocina Peruana (Barra Shopping),Barra da Tijuca,"Av. das Américas, 4666. Barra da TijucaRio de Janeiro",Peruana,"Avenida das Américas, Rio de Janeiro, Brazil",-23.0104884,-43.5308492
Lima Cocina Peruana (Botafogo),Botafogo,"Rua Visc. de Caravelas, 113. BotafogoRio de Janeiro",Peruana,"Rua Visc. de Caravelas, Rio de Janeiro, Brazil",-22.7950897,-43.0160423
Low Fire American Barbecue,Centro,"Rua da Alfândega, 7. CentroRio de Janeiro",Americana,"Rua da Alfândega, Rio de Janeiro, Brazil",-22.9039686,-43.1846713
Mad Brew Tap House (Ipanema),Ipanema,"Rua Vinícius de Moraes, 120. IpanemaRio de Janeiro",Petiscos,"Rua Vinícius de Moraes, Rio de Janeiro, Brazil",-22.4604693,-44.4810911
Mad Garden,Alto,"Rua Tietê, 329. AltoTeresópolis",Variada,"Rua Tietê, Rio de Janeiro, Brazil",-22.43405,-42.9709639
Mad Spritz,Alto,Rua Tietê 400. AltoTeresópolis,Petiscos,"Rua Tietê 400. AltoTeresópolis, Rio de Janeiro, Brazil",-22.4341363,-42.9761016
Mad Sushi,Alto,"Av. Alberto Tôrres, 530. AltoTeresópolis",Japonesa,"Avenida Alberto Tôrres, Rio de Janeiro, Brazil",-22.7508699,-42.8295167
Maguje,Jardim Botânico,"Rua Jardim Botânico, 1003. Jardim BotânicoRio de Janeiro",Brasileira,"Rua Jardim Botânico, Rio de Janeiro, Brazil",-22.4845722,-44.5023543
Manjericão Casa de Pizza,Alto Teresópolis,"Rua Flávio Bortoluzi de Souza, 314. Alto TeresópolisTeresópolis",Pizzaria,"Rua Flávio Bortoluzi de Souza, Rio de Janeiro, Brazil",-22.4452228,-42.9780606
Maria e o Boi,Ipanema,"Rua Maria Quitéria, 111. IpanemaRio de Janeiro",Carnes,"Rua Maria Quitéria, Rio de Janeiro, Brazil",-22.8254531,-43.0767814
Massa Restaurante,Leblon,"Rua Dias Ferreira, 617. LeblonRio de Janeiro",Italiana,"Rua Dias Ferreira, Rio de Janeiro, Brazil",-22.7955341,-43.0269272
Masserini Osteria di Mare,Ipanema,"Av. Vieira Souto, 320. IpanemaRio de Janeiro",Italiana,"Avenida Vieira Souto, Rio de Janeiro, Brazil",-22.9866762,-43.2007756
Meza Bar,Humaitá,"Rua Capitão Salomão, 69. HumaitáRio de Janeiro",Brasileira,"Rua Capitão Salomão, Rio de Janeiro, Brazil",-22.9571371,-43.1962066
Mimô Confeitaria e Bistrô,Itaipava,"Estr. União e Indústria, 11000 - Loja 23 -  Shopping Estação. ItaipavaPetrópolis",Italiana,"Estr. União e Indústria, Rio de Janeiro, Brazil",-22.3451565,-43.1239477
Mimô Pizzaria Italiana,Itaipava,"Estr. União e Indústria, 11.000 - Loja 102 A e B -  Shopping Estação. ItaipavaPetrópolis",Pizzaria,"Estr. União e Indústria, Rio de Janeiro, Brazil",-22.3451565,-43.1239477
Misturaria Fina Mezcla,Santa Rosa,"Rua Dr. Sardinha, 127. Santa RosaNiterói",Variada,"Rua Dr. Sardinha, Rio de Janeiro, Brazil",-22.8995377,-43.0994494
Mitsubá,Leblon,"Av. Ataulfo de Paiva, 270. LeblonRio de Janeiro",Japonesa,"Avenida Ataulfo de Paiva, Rio de Janeiro, Brazil",-22.9848391,-43.2250261
Mon Papier Café e Bistrô,Leblon,"Av. Ataulfo de Paiva, 313. LeblonRio de Janeiro",Bistrô,"Avenida Ataulfo de Paiva, Rio de Janeiro, Brazil",-22.9848391,-43.2250261
Montagu,Botafogo,"Rua Mena Barreto, 100. BotafogoRio de Janeiro",Sanduíche,"Rua Mena Barreto, Rio de Janeiro, Brazil",-22.8191738,-43.0208194
Nabrasa Oro (Camboinhas),Camboinhas,"Av. Professor Carlos Nelson Ferreira dos Santos, 125. CamboinhasNiterói",Brasileira,"Avenida Professor Carlos Nelson Ferreira dos Santos, Rio de Janeiro, Brazil",-22.9517652,-43.0584917
Nabrasa Oro (Piratininga),Piratininga,"Av. Alm Tamandaré, 657. PiratiningaNiterói",Brasileira,"Avenida Alm Tamandaré, Rio de Janeiro, Brazil",-22.9467441,-43.0578135
Nando Comida Descolada,Alto,"Av. Oliveira Botelho, 86. AltoTeresópolis",Contemporânea,"Avenida Oliveira Botelho, Rio de Janeiro, Brazil",-22.4417862,-42.9805514
Nonna Lina,Icaraí,Rua Ator Paulo Gustavo 300. IcaraíNiterói,Sorveteria,"Rua Ator Paulo Gustavo 300. IcaraíNiterói, Rio de Janeiro, Brazil",-22.9112003,-43.106168
Nonna Lina (Laranjeiras),Laranjeiras,"Rua das Laranjeiras, 371. LaranjeirasRio de Janeiro",Gelateria,"Rua das Laranjeiras, Rio de Janeiro, Brazil",-22.744608,-43.4982942
O Booze Bar,Lapa,"Av. Mem de Sá, 63. LapaRio de Janeiro",Bar,"Avenida Mem de Sá, Rio de Janeiro, Brazil",-22.413205,-41.8683366
O Grego,Copacabana,"Rua Siqueira Campos, 18. CopacabanaRio de Janeiro",Grega,"Rua Siqueira Campos, Rio de Janeiro, Brazil",-22.5162711,-44.000002
OH! Burguers,Icaraí,"Rua Mem de Sá, 64. IcaraíNiterói",Hamburgueria,"Rua Mem de Sá, Rio de Janeiro, Brazil",-22.6410801,-43.4129388
Ogro Steaks,Botafogo,"Rua São João Batista, 26. BotafogoRio de Janeiro",Hamburgueria,"Rua São João Batista, Rio de Janeiro, Brazil",-22.748222,-43.4342437
Orzo Pasta Bar,Maracanã,"Rua Mariz e Barros, 1146. MaracanãRio de Janeiro",Italiana,"Rua Mariz e Barros, Rio de Janeiro, Brazil",-22.9989214,-44.2320185
Pecorino,Barra da Tijuca,"Av. Américas, 4666. Barra da TijucaRio de Janeiro",Italiana,"Avenida Américas, Rio de Janeiro, Brazil",-22.96857,-43.61737655447384
Peixoto,Leblon,"Rua Conde Bernardotte, 26. LeblonRio de Janeiro",Japonesa,"Rua Conde Bernardotte, Rio de Janeiro, Brazil",nan,nan
Piccola Fattoria,Recreio dos Bandeirantes,"Rua Professora Luiza Nogueira Gonçalves, 350. Recreio dos BandeirantesRio de Janeiro",Pizzaria,"Rua Professora Luiza Nogueira Gonçalves, Rio de Janeiro, Brazil",-23.0054844,-43.4392507
Pickles Burger N’ Shakes,Icaraí,"Rua Lopes Trovão, 474 - loja 107. IcaraíNiterói",Hamburgueria,"Rua Lopes Trovão, Rio de Janeiro, Brazil",-22.907092,-43.1123756
Praça 7 WineBar,Recreio dos Bandeirantes,"Rua Lúcia de Castro Silva, 160. Recreio dos BandeirantesRio de Janeiro",Contemporânea,"Rua Lúcia de Castro Silva, Rio de Janeiro, Brazil",-23.0205713,-43.4630652
Proa Cozinha bar,Gávea,"Praça Santos Dumont, 120. GáveaRio de Janeiro",Frutos do Mar,"Praça Santos Dumont, Rio de Janeiro, Brazil",-22.50146455,-44.07522764529055
Quinta da Henriqueta,Jardim Botânico,"Rua Lopes Quintas, 165. Jardim BotânicoRio de Janeiro",Portuguesa,"Rua Lopes Quintas, Rio de Janeiro, Brazil",-22.9632101,-43.2226218
Raízes Gastrobar,Freguesia de Jacarepaguá,"Estr. dos Três Rios, 470. Freguesia de JacarepaguáRio de Janeiro",Brasileira,"Estr. dos Três Rios, Rio de Janeiro, Brazil",-22.9366039,-43.3341198
Refúgio Veg,Recreio dos Bandeirantes,"Rua Roberval Cordeiro de Farias, 346. Recreio dos BandeirantesRio de Janeiro",Vegana,"Rua Roberval Cordeiro de Farias, Rio de Janeiro, Brazil",-23.0175314,-43.4571631
Restaurante ...lá,Secretário,"Estrada do Secretário, km 5,7. SecretárioPetrópolis",Variada,"Estrada do Secretário, Rio de Janeiro, Brazil",-22.3325509,-43.1768784
Restaurante Nomar,Itaipuaçu,"Av. da Praia, 14302. ItaipuaçuMaricá",Frutos do Mar,"Avenida da Praia, Rio de Janeiro, Brazil",-22.9737186,-42.912703
Sabrage,Copacabana,"Rua Ronald de Carvalho, 127. CopacabanaRio de Janeiro",Wine Bar,"Rua Ronald de Carvalho, Rio de Janeiro, Brazil",-22.8669263,-42.343111
Sagrado Mar,Centro,"Av. Felíciano Sodré, 488. CentroNiterói",Frutos do Mar,"Avenida Felíciano Sodré, Rio de Janeiro, Brazil",-22.8807969,-43.1096894
Sal & Baunilha,Santa Rosa,"Rua Américo Oberlaender, 21. Santa RosaNiterói",Carnes,"Rua Américo Oberlaender, Rio de Janeiro, Brazil",nan,nan
Salveco Donuts,Centro,"Av. Felíciano Sodré, 488. CentroNiterói",Doces,"Avenida Felíciano Sodré, Rio de Janeiro, Brazil",-22.8807969,-43.1096894
Salí,Leblon,"Rua Dias Ferreira, 78. LeblonRio de Janeiro",Mediterrânea,"Rua Dias Ferreira, Rio de Janeiro, Brazil",-22.7955341,-43.0269272
Sardinha Taberna (Barra),Barra da Tijuca,"Av. das Américas, 4666. Barra da TijucaRio de Janeiro",Portuguesa,"Avenida das Américas, Rio de Janeiro, Brazil",-23.0104884,-43.5308492
Sebastián Gastrobar,Gávea,"Rua dos Oitis, 6. GáveaRio de Janeiro",Variada,"Rua dos Oitis, Rio de Janeiro, Brazil",-22.4567333,-43.4662412
Serrado Vinhos & Bistrô,Laranjeiras,"Rua Gen. Glicério, 364. LaranjeirasRio de Janeiro",Bistrô,"Rua Gen. Glicério, Rio de Janeiro, Brazil",-22.9420237,-43.1916579
Señor Burrito,Várzea,"Rua Nova Friburgo, 34. VárzeaTeresópolis",Mexicana,"Rua Nova Friburgo, Rio de Janeiro, Brazil",-22.7707664,-43.3084354
Sheesh!,Barra da Tijuca,"Av. das Américas, 500. Barra da TijucaRio de Janeiro",Hamburgueria,"Avenida das Américas, Rio de Janeiro, Brazil",-23.0104884,-43.5308492
Sova,Copacabana,"Rua Xavier da Silveira, 34. CopacabanaRio de Janeiro",Padaria Artesanal,"Rua Xavier da Silveira, Rio de Janeiro, Brazil",-22.7911318,-43.309061
Surreal Gastrobar,Botafogo,"Rua Paulo Barreto, 102. BotafogoRio de Janeiro",Fusion Food,"Rua Paulo Barreto, Rio de Janeiro, Brazil",-22.7103902,-43.4581086
Sushi Rio,Botafogo,"Rua Lauro Müller, 116. BotafogoRio de Janeiro",Japonesa,"Rua Lauro Müller, Rio de Janeiro, Brazil",-22.7480689,-43.446328
Só 30 centímetros,Centro,"Av. Felíciano Sodré, 488. CentroNiterói",Pizzaria,"Avenida Felíciano Sodré, Rio de Janeiro, Brazil",-22.8807969,-43.1096894
Tasca Miúda,Leblon,"Rua Humberto de Campos, 827. LeblonRio de Janeiro",Portuguesa,"Rua Humberto de Campos, Rio de Janeiro, Brazil",-22.6786615,-43.2398067
Tasca do Marquês,Barra da Tijuca,"Avenida das Américas, 4666. Barra da TijucaRio de Janeiro",Portuguesa,"Avenida das Américas, Rio de Janeiro, Brazil",-23.0104884,-43.5308492
Temaki Fry (Barra da Tijuca),Barra da Tijuca,"Av. Olegário Maciel, 71. Barra da TijucaRio de Janeiro",Japonesa,"Avenida Olegário Maciel, Rio de Janeiro, Brazil",-23.0118087,-43.3050462
Temaki Fry (Pontal),Recreio dos Bandeirantes,"Av. Paulo Tapajós, 4. Recreio dos BandeirantesRio de Janeiro",Japonesa,"Avenida Paulo Tapajós, Rio de Janeiro, Brazil",-23.0312531,-43.4788955
Tempo Bistrô,Botafogo,"Rua Mena Barreto, 22. BotafogoRio de Janeiro",Contemporânea,"Rua Mena Barreto, Rio de Janeiro, Brazil",-22.8191738,-43.0208194
Tempêro com Arte,Tijuca,"Rua Pref. Sebastião Teixeira, 262. TijucaTeresópolis",Brasileira,"Rua Pref. Sebastião Teixeira, Rio de Janeiro, Brazil",-22.922962,-43.377635
Timpanas Gastrobar,Flamengo,Rua Arno Konder. FlamengoRio de Janeiro,Portuguesa,"Rua Arno Konder. FlamengoRio de Janeiro, Rio de Janeiro, Brazil",-22.9305502,-43.1767537
Tsuki Sushi,Itaipuaçu,"Rua Van Lembergh, Qd 67/Loja 101. ItaipuaçuMaricá",Japonesa,"Rua Van Lembergh, Rio de Janeiro, Brazil",nan,nan
Umai Sushi,Itaipuaçu,"Avenida Carlos Marighella, 8503. ItaipuaçuMaricá",Japonesa,"Avenida Carlos Marighella, Rio de Janeiro, Brazil",-22.9621571,-42.9914515
Vasfeijão (Recreio),Recreio dos Bandeirantes,"Rua Min. Aliomar Baleeiro, 645. Recreio dos BandeirantesRio de Janeiro",Brasileira,"Rua Min. Aliomar Baleeiro, Rio de Janeiro, Brazil",nan,nan
Vendinha,Tijuca,"Rua Pareto, 42. TijucaRio de Janeiro",Brasileira,"Rua Pareto, Rio de Janeiro, Brazil",-22.9220428,-43.2301274
Venga Bar de Tapas (Ipanema),Ipanema,"Rua Garcia D’Ávila, 147 B. IpanemaRio de Janeiro",Espanhola,"Rua Garcia D’Ávila, Rio de Janeiro, Brazil",-22.9829363,-43.2091512
Venga Chiringuito (Copacabana),Copacabana,"Av. Atlântica, 3880. CopacabanaRio de Janeiro",Espanhola,"Avenida Atlântica, Rio de Janeiro, Brazil",-22.9754508,-43.1876515
Venga La Barra (Leblon),Leblon,"Rua Dias Ferreira, 113 B. LeblonRio de Janeiro",Espanhola,"Rua Dias Ferreira, Rio de Janeiro, Brazil",-22.7955341,-43.0269272
Vero Gelato e Pizza,Ipanema,"Rua Visconde de Pirajá, 229. IpanemaRio de Janeiro",Gelateria,"Rua Visconde de Pirajá, Rio de Janeiro, Brazil",-22.9837404,-43.214208
Verso Restaurante,Botafogo,"Av. Voluntários da Pátria, 97. BotafogoRio de Janeiro",Brasileira,"Avenida Voluntários da Pátria, Rio de Janeiro, Brazil",-22.9516955,-43.1847089496397
VidaVino,Centro,"Av. Felíciano Sodré, 48. CentroNiterói",Wine Bar,"Avenida Felíciano Sodré, Rio de Janeiro, Brazil",-22.8807969,-43.1096894
Vinho & Ponto,Barra da Tijuca,"Av. das Américas, 500. Barra da TijucaRio de Janeiro",Wine Bar,"Avenida das Américas, Rio de Janeiro, Brazil",-23.0104884,-43.5308492
Vino! (Botafogo),Botafogo,"Rua Nelson Mandela, 100. BotafogoRio de Janeiro",Contemporânea,"Rua Nelson Mandela, Rio de Janeiro, Brazil",-22.6958353,-43.5141434
Vino! (Copacabana),Copacabana,"Rua Santa Clara, 8. CopacabanaRio de Janeiro",Italiana,"Rua Santa Clara, Rio de Janeiro, Brazil",-22.9262134,-44.398844
Vino! (Flamengo),Flamengo,"Rua Governador Irineu Bornhausen, s/n. FlamengoRio de Janeiro",Italiana,"Rua Governador Irineu Bornhausen, Rio de Janeiro, Brazil",-22.9304823,-43.1774417
Vino! (Ipanema),Ipanema,"Rua Aníbal de Mendonça, 55. IpanemaRio de Janeiro",Italiana,"Rua Aníbal de Mendonça, Rio de Janeiro, Brazil",-22.9828334,-43.2112609
Vino! Cidade Jardim,Jacarepaguá,"Av. Vice Pres. José Alencar, 1350. JacarepaguáRio de Janeiro",Wine Bar,"Avenida Vice Pres. José Alencar, Rio de Janeiro, Brazil",-22.9665192,-43.38669255
Vitali Gelato (Ipanema Harbour),Ipanema,"Rua Gomes Carneiro, 132. IpanemaRio de Janeiro",Gelateria,"Rua Gomes Carneiro, Rio de Janeiro, Brazil",-22.6669547,-43.255156
Yayá Comidaria Pop Brasileira,Leme,"Rua Gustavo Sampaio, 361. LemeRio de Janeiro",Brasileira,"Rua Gustavo Sampaio, Rio de Janeiro, Brazil",-22.5315652,-43.1732161
Zagga Pizza Bar,Copacabana,"Rua Ronald de Carvalho, 265. CopacabanaRio de Janeiro",Pizzaria,"Rua Ronald de Carvalho, Rio de Janeiro, Brazil",-22.8669263,-42.343111
